Vrest,Upstroke,Vpeak,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,GKr_0.06__Label,PCa_15.13__Label
-88.18,57.825,41.298,104.21,162.32,176.35,224.45,48.096,0.00033373,0.00037698,166.33,426.85,260.52,4.4431e-05,0,0
-87.905,56.622,38.999,110.22,162.32,174.35,222.44,48.096,0.00046601,0.00052496,138.28,364.73,226.45,5.9889e-05,0,0
-87.904,54.164,37.093,120.24,186.37,204.41,256.51,52.104,0.00031952,0.00039182,230.46,565.13,334.67,7.5679e-05,0,1
-87.848,55.485,38.032,138.28,214.43,234.47,318.64,84.168,0.00032816,0.00039142,200.4,505.01,304.61,6.5345e-05,1,1
-87.985,55.413,40.543,104.21,148.3,158.32,194.39,36.072,0.00027614,0.00036066,222.44,545.09,322.65,8.6988e-05,0,0
-87.615,57.329,40.856,106.21,168.34,184.37,238.48,54.108,0.0004188,0.00050038,188.38,480.96,292.59,8.4139e-05,0,0
-87.979,53.132,38.327,148.3,220.44,242.48,314.63,72.144,0.00043602,0.00051104,212.42,537.07,324.65,7.9004e-05,1,1
-87.901,53.68,38.028,116.23,162.32,176.35,228.46,52.104,0.00040602,0.00049538,184.37,468.94,284.57,9.1299e-05,0,0
-87.999,50.269,33.569,114.23,150.3,162.32,198.4,36.072,0.00032112,0.00041839,254.51,623.25,368.74,0.00010228,0,0
-88.007,55.342,40.785,146.29,220.44,240.48,304.61,64.128,0.00032139,0.00042228,216.43,525.05,308.62,0.0001031,0,1
-87.986,54.407,37.537,100.2,138.28,150.3,190.38,40.08,0.00041753,0.0004776,140.28,366.73,226.45,6.0681e-05,0,0
-88.101,54.378,36.96,150.3,222.44,244.49,326.65,82.164,0.00051433,0.00057631,190.38,515.03,324.65,6.6309e-05,0,1
-88.103,52.915,39.78,138.28,198.4,214.43,270.54,56.112,0.0002616,0.00035661,292.59,665.33,372.75,0.00010019,0,1
-87.874,49.696,40.172,162.32,244.49,264.53,320.64,56.112,0.00035473,0.00045229,184.37,466.93,282.57,9.8987e-05,1,1
-87.97,53.116,35.962,144.29,214.43,234.47,304.61,70.14,0.00044267,0.00050872,192.38,499,306.61,6.9164e-05,0,1
-87.717,57.138,41.434,134.27,196.39,212.42,272.55,60.12,0.0004469,0.00055957,232.46,569.14,336.67,0.00011764,1,1
